date,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,price_per_sqft,affordability_score,quality_score,investment_score
2014-10-13,221900.0,3,1.0,1180,1.0,0,0,3,7,1955,0,98178,47.5112,-122.257,188.05084745762713,0.005317710680486706,10,46.1655022440198
2014-12-09,538000.0,3,2.25,2570,2.0,0,0,3,7,1951,1991,98125,47.721,-122.319,209.3385214007782,0.004776951672862454,10,41.8417156341091
2015-02-25,180000.0,2,1.0,770,1.0,0,0,3,6,1933,0,98028,47.7379,-122.233,233.76623376623377,0.004277777777777778,9,28.98949706195345
2014-12-09,604000.0,4,3.0,1960,1.0,0,0,5,7,1965,0,98136,47.5208,-122.393,308.16326530612247,0.0032450331125827812,12,50.719474390413176
2015-02-18,510000.0,3,2.0,1680,1.0,0,0,3,8,1987,0,98074,47.6168,-122.045,303.57142857142856,0.0032941176470588237,11,38.78337111923379
2014-05-12,1225000.0,4,4.5,5420,1.0,0,0,3,11,2001,0,98053,47.6561,-122.005,226.01476014760146,0.004424489795918368,14,75.30999861194651
2014-06-27,257500.0,3,2.25,1715,2.0,0,0,3,7,1995,0,98003,47.3097,-122.327,150.14577259475217,0.006660194174757282,10,54.07393698237172
2015-01-15,291850.0,3,1.5,1060,1.0,0,0,3,7,1963,0,98198,47.4095,-122.315,275.3301886792453,0.003632002741134144,10,28.89117660667191
2015-04-15,229500.0,3,1.0,1780,1.0,0,0,3,7,1960,0,98146,47.5123,-122.337,128.93258426966293,0.0077559912854030496,10,57.52903345208902
2015-03-12,323000.0,3,2.5,1890,2.0,0,0,3,7,2003,0,98038,47.3684,-122.031,170.8994708994709,0.005851393188854488,10,49.82533660297043
2015-04-03,662500.0,3,2.5,3560,1.0,0,0,3,8,1965,0,98007,47.6007,-122.145,186.09550561797752,0.005373584905660377,11,61.124091981677694
2014-05-27,468000.0,2,1.0,1160,1.0,0,0,4,7,1942,0,98115,47.69,-122.292,403.44827586206895,0.002478632478632479,11,29.574792948688287
2014-05-28,310000.0,3,1.0,1430,1.5,0,0,4,7,1927,0,98028,47.7558,-122.229,216.78321678321677,0.0046129032258064515,11,54.95882107990562
2014-10-07,400000.0,3,1.75,1370,1.0,0,0,4,7,1977,0,98074,47.6127,-122.045,291.97080291970804,0.003425,11,40.45481885902004
2015-03-12,530000.0,5,2.0,1810,1.5,0,0,3,7,1900,0,98107,47.67,-122.394,292.81767955801104,0.0034150943396226417,10,25.742608615185308
2015-01-24,650000.0,4,3.0,2950,2.0,0,3,3,9,1979,0,98126,47.5714,-122.375,220.33898305084745,0.004538461538461539,15,77.94267339101467
2014-07-31,395000.0,3,2.0,1890,2.0,0,0,3,7,1994,0,98019,47.7277,-121.962,208.994708994709,0.004784810126582279,10,41.92962568824319
2014-05-29,485000.0,4,1.0,1600,1.5,0,0,4,7,1916,0,98103,47.6648,-122.343,303.125,0.0032989690721649486,11,38.83195299125526
2014-12-05,189000.0,2,1.0,1200,1.0,0,0,4,7,1921,0,98002,47.3089,-122.21,157.5,0.006349206349206349,11,67.14130384490815
2015-04-24,230000.0,3,1.0,1250,1.0,0,0,4,7,1969,0,98003,47.3343,-122.306,184.0,0.005434782608695652,11,61.53703789386018
2014-05-14,385000.0,4,1.75,1620,1.0,0,0,4,7,1947,0,98133,47.7025,-122.341,237.65432098765433,0.004207792207792208,11,50.742608615185304
2014-08-26,2000000.0,3,2.75,3050,1.0,0,4,3,9,1968,0,98040,47.5316,-122.233,655.7377049180328,0.0015249999999999999,16,49.30134641188174
2014-07-03,285000.0,5,2.5,2270,2.0,0,0,3,8,1995,0,98092,47.3266,-122.169,125.55066079295155,0.007964912280701755,11,72.46217554249756
2014-05-16,252700.0,2,1.5,1070,1.0,0,0,3,7,1985,0,98030,47.3533,-122.166,236.16822429906543,0.0042342698852394145,10,36.518530514042475
