date,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,price_per_sqft,affordability_score,quality_score,investment_score,address
2014-10-13,221900.0,3,1.0,1180,1.0,0,0,3,7,1955,0,98178,47.5112,-122.257,188.05084745762716,0.0053177106804867,10,46.1655022440198,"10012 61st Ave S, Seattle, WA 98178, USA"
2014-12-09,538000.0,3,2.25,2570,2.0,0,0,3,7,1951,1991,98125,47.721,-122.319,209.3385214007782,0.0047769516728624,10,41.8417156341091,"837 NE 127th St, Seattle, WA 98125, USA"
2015-02-25,180000.0,2,1.0,770,1.0,0,0,3,6,1933,0,98028,47.7379,-122.233,233.76623376623377,0.0042777777777777,9,28.98949706195345,"15109 81st Ave NE, Kenmore, WA 98028, USA"
2014-12-09,604000.0,4,3.0,1960,1.0,0,0,5,7,1965,0,98136,47.5208,-122.393,308.16326530612247,0.0032450331125827,12,50.719474390413176,"9231 47th Ave SW, Seattle, WA 98136, USA"
2015-02-18,510000.0,3,2.0,1680,1.0,0,0,3,8,1987,0,98074,47.6168,-122.045,303.57142857142856,0.0032941176470588,11,38.78337111923379,"901 221st Ave NE, Sammamish, WA 98074, USA"
2014-05-12,1225000.0,4,4.5,5420,1.0,0,0,3,11,2001,0,98053,47.6561,-122.005,226.01476014760144,0.0044244897959183,14,75.30999861194651,"25005 NE Patterson Way, Redmond, WA 98053, USA"
2014-06-27,257500.0,3,2.25,1715,2.0,0,0,3,7,1995,0,98003,47.3097,-122.327,150.14577259475217,0.0066601941747572,10,54.07393698237172,"533 S 330th Pl, Federal Way, WA 98003, USA"
2015-01-15,291850.0,3,1.5,1060,1.0,0,0,3,7,1963,0,98198,47.4095,-122.315,275.3301886792453,0.0036320027411341,10,28.89117660667191,"casa, 21421 14th Ave S, Des Moines, WA 98198, USA"
2015-04-15,229500.0,3,1.0,1780,1.0,0,0,3,7,1960,0,98146,47.5123,-122.337,128.93258426966293,0.007755991285403,10,57.52903345208902,"136 SW 102nd St, Seattle, WA 98146, USA"
2015-03-12,323000.0,3,2.5,1890,2.0,0,0,3,7,2003,0,98038,47.3684,-122.031,170.8994708994709,0.0058513931888544,10,49.82533660297043,"26007 232nd Pl SE, Maple Valley, WA 98038, USA"
2015-04-03,662500.0,3,2.5,3560,1.0,0,0,3,8,1965,0,98007,47.6007,-122.145,186.09550561797752,0.0053735849056603,11,61.124091981677694,"1017 146th Ave SE, Bellevue, WA 98007, USA"
2014-05-27,468000.0,2,1.0,1160,1.0,0,0,4,7,1942,0,98115,47.69,-122.292,403.44827586206895,0.0024786324786324,11,29.574792948688287,"3169 NE 85th St, Seattle, WA 98115, USA"
2014-05-28,310000.0,3,1.0,1430,1.5,0,0,4,7,1927,0,98028,47.7558,-122.229,216.7832167832168,0.0046129032258064,11,54.95882107990562,"8308 NE 176th Pl, Kenmore, WA 98028, USA"
2014-10-07,400000.0,3,1.75,1370,1.0,0,0,4,7,1977,0,98074,47.6127,-122.045,291.97080291970804,0.003425,11,40.45481885902004,"22110 NE 3rd Pl, Sammamish, WA 98074, USA"
2015-03-12,530000.0,5,2.0,1810,1.5,0,0,3,7,1900,0,98107,47.67,-122.394,292.81767955801104,0.0034150943396226,10,25.742608615185308,"2825 NW 57th St, Seattle, WA 98107, USA"
2015-01-24,650000.0,4,3.0,2950,2.0,0,3,3,9,1979,0,98126,47.5714,-122.375,220.33898305084745,0.0045384615384615,15,77.94267339101467,"3400 SW Manning St, Seattle, WA 98126, USA"
2014-07-31,395000.0,3,2.0,1890,2.0,0,0,3,7,1994,0,98019,47.7277,-121.962,208.994708994709,0.0047848101265822,10,41.92962568824319,"28232 NE 141st Pl, Duvall, WA 98019, USA"
2014-05-29,485000.0,4,1.0,1600,1.5,0,0,4,7,1916,0,98103,47.6648,-122.343,303.125,0.0032989690721649,11,38.83195299125526,"1215 N 50th St, Seattle, WA 98103, USA"
2014-12-05,189000.0,2,1.0,1200,1.0,0,0,4,7,1921,0,98002,47.3089,-122.21,157.5,0.0063492063492063,11,67.14130384490815,"19 Pike St NE, Auburn, WA 98002, USA"
2015-04-24,230000.0,3,1.0,1250,1.0,0,0,4,7,1969,0,98003,47.3343,-122.306,184.0,0.0054347826086956,11,61.53703789386018,"29826 21st Ave S, Federal Way, WA 98003, USA"
2014-05-14,385000.0,4,1.75,1620,1.0,0,0,4,7,1947,0,98133,47.7025,-122.341,237.65432098765436,0.0042077922077922,11,50.7426086151853,"10039 Interlake Ave N, Seattle, WA 98133, USA"
2014-08-26,2000000.0,3,2.75,3050,1.0,0,4,3,9,1968,0,98040,47.5316,-122.233,655.7377049180328,0.0015249999999999,16,49.30134641188174,"7814 79th Ave SE, Mercer Island, WA 98040, USA"
2014-07-03,285000.0,5,2.5,2270,2.0,0,0,3,8,1995,0,98092,47.3266,-122.169,125.55066079295156,0.0079649122807017,11,72.46217554249756,"12840 SE 307th Pl, Auburn, WA 98092, USA"
2014-05-16,252700.0,2,1.5,1070,1.0,0,0,3,7,1985,0,98030,47.3533,-122.166,236.16822429906543,0.0042342698852394,10,36.51853051404248,"13105 SE 277th Pl, Kent, WA 98030, USA"
2014-11-20,329000.0,3,2.25,2450,2.0,0,0,4,8,1985,0,98030,47.3739,-122.172,134.28571428571428,0.0074468085106382,12,83.9541016980521,"12715 SE 254th Ct, Kent, WA 98030, USA"
2014-11-03,233000.0,3,2.0,1710,1.5,0,0,5,6,1941,0,98002,47.3048,-122.218,136.25730994152048,0.0073390557939914,11,71.12501735066859,"316 I St SE, Auburn, WA 98002, USA"
2014-06-26,937000.0,3,1.75,2450,2.0,0,0,3,8,1915,0,98119,47.6386,-122.36,382.4489795918368,0.0026147278548559,11,30.95474945634572,"206 W Boston St, Seattle, WA 98119, USA"
2014-12-01,667000.0,3,1.0,1400,1.5,0,0,5,8,1909,0,98112,47.6221,-122.314,476.4285714285714,0.0020989505247376,13,45.99430898070606,"1414 E Harrison St, Seattle, WA 98112, USA"
2014-06-24,438000.0,3,1.75,1520,1.0,0,0,3,7,1948,0,98115,47.695,-122.304,288.1578947368421,0.0034703196347031,10,26.585851108129365,"2302 NE 91st St, Seattle, WA 98115, USA"
2015-03-02,719000.0,4,2.5,2570,2.0,0,0,3,8,2005,0,98052,47.7073,-122.11,279.76653696498056,0.0035744089012517,11,42.63521954379309,"17256 NE 119th Way, Redmond, WA 98052, USA"
2014-11-10,580500.0,3,2.5,2320,2.0,0,0,3,8,2003,0,98027,47.5391,-122.07,250.2155172413793,0.0039965546942291,11,48.13885161708231,"2190 NW Coyote Creek Ln, Issaquah, WA 98027, USA"
2014-12-01,280000.0,2,1.5,1190,3.0,0,0,3,7,2005,0,98133,47.7274,-122.357,235.2941176470588,0.00425,10,36.66311941886827,"13435 Greenwood Ave N, Seattle, WA 98133, USA"
2014-06-24,687500.0,4,1.75,2330,1.5,0,0,4,7,1929,0,98117,47.6823,-122.368,295.06437768240346,0.0033890909090909,11,40.00254476472493,"7330 9th Ave NW, Seattle, WA 98117, USA"
